transaction_id,standardized_lender_name,standardized_lender_type,lender_geography,lender_core_type,lender_profit_orientation,transaction_primary_class,recipient,recipient_region,commitment_year,involving_multilateral
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",HSBC,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",KDB Bank Europe,Other Government Agency,Non-Chinese,Government Agency,Policy Driven,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Korea Development Bank,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Mashreqbank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Mizuho,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Mitsubishi UFJ,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Rand Merchant Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Sumitomo Mitsui,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Standard Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",Standard Chartered,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,"Africa, regional",Africa,2021,No
"African Export-Import Bank (Afreximbank)-Africa, regional-2021-12-21",State Bank of India,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,"Africa, regional",Africa,2021,No
Petroquímica Comodoro Rivadavia S.A.-Argentina-2021-01-21,ICBC,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,Argentina,America,2021,No
Petroquímica Comodoro Rivadavia S.A.-Argentina-2021-01-21,Banco de Galicia and Buenos Aires S.A.U,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Argentina,America,2021,No
Petroquímica Comodoro Rivadavia S.A.-Argentina-2021-01-21,Banco Santander Río,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Argentina,America,2021,No
Aeropuertos Argentina 2000 S.A. (AA2000)-Argentina-2021-11-18,ICBC,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,Argentina,America,2021,No
Aeropuertos Argentina 2000 S.A. (AA2000)-Argentina-2021-11-18,Banco de Galicia and Buenos Aires S.A.U,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Argentina,America,2021,No
Aeropuertos Argentina 2000 S.A. (AA2000)-Argentina-2021-11-18,Banco Santander Río,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Argentina,America,2021,No
Aeropuertos Argentina 2000 S.A. (AA2000)-Argentina-2021-11-18,Citibank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Argentina,America,2021,No
Compañía General de Combustibles S.A. (CGC)-Argentina-2021-08-02,ICBC,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,Argentina,America,2021,No
Compañía General de Combustibles S.A. (CGC)-Argentina-2021-08-02,Banco de Galicia and Buenos Aires S.A.U,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Argentina,America,2021,No
Compañía General de Combustibles S.A. (CGC)-Argentina-2021-08-02,Banco de Valores,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Argentina,America,2021,No
Compañía General de Combustibles S.A. (CGC)-Argentina-2021-08-02,Itau,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Argentina,America,2021,No
Compañía General de Combustibles S.A. (CGC)-Argentina-2021-08-02,Banco Macro,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Argentina,America,2021,No
Compañía General de Combustibles S.A. (CGC)-Argentina-2021-08-02,Banco Santander,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Argentina,America,2021,No
Compañía General de Combustibles S.A. (CGC)-Argentina-2021-08-02,Citibank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Argentina,America,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,Bank of China,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,Azerbaijan,Asia,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,Arab Petroleum Investments Corporation,Other Intergovernmental Organization,Non-Chinese,Intergovernmental Organization,Policy Driven,NEUTRAL,Azerbaijan,Asia,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,Bank ABC,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,Azerbaijan,Asia,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,CD Indosuez Wealth Management,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Azerbaijan,Asia,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,Commercial Bank of Dubai,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Azerbaijan,Asia,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,Rabobank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Azerbaijan,Asia,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,First Abu Dhabi Bank,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,Azerbaijan,Asia,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,ING,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Azerbaijan,Asia,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,Mizuho,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Azerbaijan,Asia,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,National Bank of Fujairah,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Azerbaijan,Asia,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,Raiffeisen Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Azerbaijan,Asia,2021,No
State Oil Company of the Azerbaijan Republic (SOCAR)-Azerbaijan-2021-09-17,Union de Banques Arabes et Francaises,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Azerbaijan,Asia,2021,No
Baku-Tbilisi-Ceyhan Pipeline Company (BTC)-Azerbaijan-2021-10-20,Bank of China,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,BROWN,Azerbaijan,Asia,2021,No
Baku-Tbilisi-Ceyhan Pipeline Company (BTC)-Azerbaijan-2021-10-20,Citibank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Azerbaijan,Asia,2021,No
Baku-Tbilisi-Ceyhan Pipeline Company (BTC)-Azerbaijan-2021-10-20,Credit Agricole,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Azerbaijan,Asia,2021,No
Baku-Tbilisi-Ceyhan Pipeline Company (BTC)-Azerbaijan-2021-10-20,ICBC,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,BROWN,Azerbaijan,Asia,2021,No
Baku-Tbilisi-Ceyhan Pipeline Company (BTC)-Azerbaijan-2021-10-20,Mitsubishi UFJ,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Azerbaijan,Asia,2021,No
Baku-Tbilisi-Ceyhan Pipeline Company (BTC)-Azerbaijan-2021-10-20,Societe Generale,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Azerbaijan,Asia,2021,No
Dhaka Bypass Expressway Development Company Limited (DBED)-Bangladesh-2021-04-23,CITIC,Chinese State-owned Company,Chinese,State-owned Company,Mixed Mandate,NEUTRAL,Bangladesh,Asia,2021,No
Dhaka Bypass Expressway Development Company Limited (DBED)-Bangladesh-2021-04-23,China Development Bank,Chinese State-owned Policy Bank,Chinese,State-owned Policy Bank,Policy Driven,NEUTRAL,Bangladesh,Asia,2021,No
Dhaka Bypass Expressway Development Company Limited (DBED)-Bangladesh-2021-04-23,Asian Development Bank,Other Intergovernmental Organization,Non-Chinese,Intergovernmental Organization,Policy Driven,NEUTRAL,Bangladesh,Asia,2021,No
Dhaka Bypass Expressway Development Company Limited (DBED)-Bangladesh-2021-04-23,Bangladesh Infrastructure Finance Fund,Other State-owned Fund,Non-Chinese,State-owned Fund,Policy Driven,NEUTRAL,Bangladesh,Asia,2021,No
Barisal Electric Power Company Limited (BEPCL)-Bangladesh-2021-09-01,Bank of China,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,BROWN,Bangladesh,Asia,2021,No
Barisal Electric Power Company Limited (BEPCL)-Bangladesh-2021-09-01,Export-Import Bank of China,Chinese State-owned Policy Bank,Chinese,State-owned Policy Bank,Policy Driven,BROWN,Bangladesh,Asia,2021,No
Bracell SP Cellulose Trading FZCO|Bracell SP Celulose LTDA-Brazil-2021-02-22,Bank of China,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,Brazil,America,2021,No
Bracell SP Cellulose Trading FZCO|Bracell SP Celulose LTDA-Brazil-2021-02-22,Banco Bradesco BBI,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Brazil,America,2021,No
Bracell SP Cellulose Trading FZCO|Bracell SP Celulose LTDA-Brazil-2021-02-22,Banco do Brasil,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,Brazil,America,2021,No
Bracell SP Cellulose Trading FZCO|Bracell SP Celulose LTDA-Brazil-2021-02-22,Itau,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Brazil,America,2021,No
Banco Daycoval S.A.-Brazil-2021-12-16,ICBC,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,Brazil,America,2021,No
Banco Daycoval S.A.-Brazil-2021-12-16,Banco de Occidente,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Brazil,America,2021,No
Banco Daycoval S.A.-Brazil-2021-12-16,BHD International Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Brazil,America,2021,No
Banco Daycoval S.A.-Brazil-2021-12-16,Bradesco BAC Florida Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Brazil,America,2021,No
Banco Daycoval S.A.-Brazil-2021-12-16,CaixaBank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Brazil,America,2021,No
Banco Daycoval S.A.-Brazil-2021-12-16,Commerzbank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Brazil,America,2021,No
Banco Daycoval S.A.-Brazil-2021-12-16,Inter-American Development Bank,Other Intergovernmental Organization,Non-Chinese,Intergovernmental Organization,Policy Driven,NEUTRAL,Brazil,America,2021,No
Banco Daycoval S.A.-Brazil-2021-12-16,Itau,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Brazil,America,2021,No
Banco Daycoval S.A.-Brazil-2021-12-16,Standard Chartered,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Brazil,America,2021,No
Banco Daycoval S.A.-Brazil-2021-12-16,Wells Fargo,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,Bank of China,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,ABN Amro,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,Banco Santander,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,BNP Paribas,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,Citibank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,Clifford Capital,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,Rabobank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,Credit Industriel et Commercial,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,ING,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,Mizuho,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,Mitsubishi UFJ,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,Societe Generale,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
Mero 2 Owning B.V.-Brazil-2021-09-16,Sumitomo Mitsui,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,BROWN,Brazil,America,2021,No
"Angkor International Airport Investment (Cambodia) Co., Ltd.-Cambodia-2021-01-01",China Construction Bank,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,Cambodia,Asia,2021,No
"Angkor International Airport Investment (Cambodia) Co., Ltd.-Cambodia-2021-01-01",China Development Bank,Chinese State-owned Policy Bank,Chinese,State-owned Policy Bank,Policy Driven,NEUTRAL,Cambodia,Asia,2021,No
"Angkor International Airport Investment (Cambodia) Co., Ltd.-Cambodia-2021-01-01",Export-Import Bank of China,Chinese State-owned Policy Bank,Chinese,State-owned Policy Bank,Policy Driven,NEUTRAL,Cambodia,Asia,2021,No
"Angkor International Airport Investment (Cambodia) Co., Ltd.-Cambodia-2021-01-01",ICBC,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,Cambodia,Asia,2021,No
Sihanoukville Special Economic Zone Thermal Power Company Limited (西港特区热电有限公司)-Cambodia-2021-06-01,ICBC,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,BROWN,Cambodia,Asia,2021,No
Sihanoukville Special Economic Zone Thermal Power Company Limited (西港特区热电有限公司)-Cambodia-2021-06-01,Bank of China,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,BROWN,Cambodia,Asia,2021,No
Africa Growing Together Fund (AGTF)-Cameroon-2021-06-18,People's Bank of China,Chinese Government Agency,Chinese,Government Agency,Policy Driven,NEUTRAL,Cameroon,Africa,2021,No
Africa Growing Together Fund (AGTF)-Cameroon-2021-06-18,African Development Bank,Other Intergovernmental Organization,Non-Chinese,Intergovernmental Organization,Policy Driven,NEUTRAL,Cameroon,Africa,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,Bank of China,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,Mitsubishi UFJ,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,Scotiabank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,BBVA,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,CIBC,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,China Construction Bank,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,Credit Agricole,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,Export Development Canada,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,ICBC,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,ING,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,Mega International Commercial Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,Societe Generale,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Compania Minera Doña Inés de Collahuasi SCM-Chile-2021-12-29,Sumitomo Mitsui,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,Bank of China,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,Mitsubishi UFJ,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,Banco de Crédito e Inversiones,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,Bank of America,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,BNP Paribas,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,Citibank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,Deutsche Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,Export Finance Australia (Formerly Export Finance and Insurance Corporation (EFIC)),Other Government Agency,Non-Chinese,Government Agency,Policy Driven,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,HSBC,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,ING,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,Korea Development Bank,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,Natixis,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Mantoverde S.A.-Chile-2021-02-11,Societe Generale,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,GREY,Chile,America,2021,No
Pacific Hydro-Chile-2021-01-27,China Construction Bank,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,Chile,America,2021,No
Pacific Hydro-Chile-2021-01-27,Commonwealth Bank of Australia,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Pacific Hydro-Chile-2021-01-27,DNB,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Pacific Hydro-Chile-2021-01-27,ICBC,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,Chile,America,2021,No
Pacific Hydro-Chile-2021-01-27,National Australia Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,Agricultural Bank of China,Chinese State-owned Commercial Bank,Chinese,State-owned Commercial Bank,Mixed Mandate,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,"Export-Import Bank of the Republic of China, Taipei",Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,Gunma Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,Hua Nan Commercial Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,Mizuho,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,Shikoku Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,Taishin International Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,Taiwan Cooperative Bank,Other State-owned Bank,Non-Chinese,State-owned Bank,Mixed Mandate,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,The 77 Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,The Chiba Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,The Hachijuni Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,The Hyakugo Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,The Iyo Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,The Joyo Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,The Nanto Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,Nomura,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Banco de Crédito e Inversiones S.A. (BCI)-Chile-2021-01-01,The Shanghai Commercial & Savings Bank,Other Private Sector,Non-Chinese,Private Sector,Profit Maximizing,NEUTRAL,Chile,America,2021,No
Metro Línea 1 S.A.S.-Colombia-2021-11-01,China Development Bank,Chinese State-owned Policy Bank,Chinese,State-owned Policy Bank,Policy Driven,NEUTRAL,Colombia,America,2021,No
