standardized_lender_name,standardized_lender_type,lender_geography_type,n
Agricultural Bank of China (ABC)|China Construction Bank Corporation (CCB)|Export-Import Bank of China (China Eximbank),Chinese State-owned Policy Bank,Chinese,2
Bank of China (BOC)|China Development Bank (CDB)|ICBC Standard Bank PLC,Chinese State-owned Policy Bank,Chinese,2
Bank of China (BOC)|Export-Import Bank of China (China Eximbank)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,2
Bank of Shanghai,Other Private Sector,Other Non-Chinese,2
China CITIC Bank Corporation Limited|China Development Bank (CDB),Chinese State-owned Policy Bank,Chinese,2
China Construction Bank Corporation (CCB)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Commercial Bank,Chinese,2
ICBC Turkey Yatırım Menkul Değerler A.Ş|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Commercial Bank,Chinese,2
Tai Fung Bank Limited,Other Private Sector,Other Non-Chinese,2
"Agricultural Bank of China (ABC)|Bank of China (BOC)|Bank of China (Jakarta Branch)|Bank of China (Singapore branch)|China CITIC Bank Corporation Limited|China Construction Bank Corporation (CCB)|China Development Bank (CDB)|China Merchants Bank Co., Ltd.|ICBC Indonesia|Industrial and Commercial Bank of China (ICBC)|Tai Fung Bank Limited",Chinese State-owned Policy Bank,Chinese,1
"Agricultural Bank of China (ABC)|Bank of China (BOC)|China Bank of Communications (BoCom or BoComm)|China CITIC Bank Corporation Limited|China Construction Bank Corporation (CCB)|China Everbright Bank|Export-Import Bank of China (China Eximbank)|Huaxia Bank Co., Ltd.",Chinese State-owned Policy Bank,Chinese,1
Agricultural Bank of China (ABC)|Bank of China (BOC)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Commercial Bank,Chinese,1
Agricultural Bank of China (ABC)|China Construction Bank Corporation (CCB)|China Development Bank (CDB)|Export-Import Bank of China (China Eximbank)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,1
Agricultural Bank of China (ABC)|China Development Bank (CDB),Chinese State-owned Policy Bank,Chinese,1
Agricultural Bank of China (UK) Limited (ABCUK),Chinese State-owned Commercial Bank,Chinese,1
Altyn Bank JSC,Other Private Sector,Other Non-Chinese,1
Bank of Chaoyang,Other Private Sector,Other Non-Chinese,1
Bank of China (BOC)|China Bank of Communications (BoCom or BoComm)|China Construction Bank Corporation (CCB)|China Development Bank (CDB)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,1
Bank of China (BOC)|China Bank of Communications (BoCom or BoComm)|China Construction Bank Corporation (CCB)|Export-Import Bank of China (China Eximbank),Chinese State-owned Policy Bank,Chinese,1
Bank of China (BOC)|China Bank of Communications (BoCom or BoComm)|China Development Bank (CDB)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,1
Bank of China (BOC)|China Bohai Bank|China CITIC Bank Corporation Limited|China Construction Bank Corporation (CCB),Chinese State-owned Commercial Bank,Chinese,1
Bank of China (BOC)|China CITIC Bank Corporation Limited|China Construction Bank Corporation (CCB)|China Development Bank (CDB)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,1
Bank of China (BOC)|China Construction Bank Corporation (CCB),Chinese State-owned Commercial Bank,Chinese,1
Bank of China (BOC)|China Construction Bank Corporation (CCB)|China Development Bank (CDB),Chinese State-owned Policy Bank,Chinese,1
Bank of China (BOC)|China Construction Bank Corporation (CCB)|China Development Bank (CDB)|Export-Import Bank of China (China Eximbank)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,1
Bank of China (BOC)|China Construction Bank Corporation (CCB)|Export-Import Bank of China (China Eximbank),Chinese State-owned Policy Bank,Chinese,1
"Bank of China (BOC)|China Development Bank (CDB)|China Merchants Bank Co., Ltd.",Chinese State-owned Policy Bank,Chinese,1
Bank of China (BOC)|China Development Bank (CDB)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,1
Bank of China (BOC)|Industrial and Commercial Bank of China (ICBC) London,Chinese State-owned Commercial Bank,Chinese,1
Bank of China (Russia),Chinese State-owned Commercial Bank,Chinese,1
Bank of China (Singapore branch),Chinese State-owned Commercial Bank,Chinese,1
Bank of China (UK) Limited (BOC UK),Chinese State-owned Commercial Bank,Chinese,1
"Bank of China, Johannesburg branch",Chinese State-owned Commercial Bank,Chinese,1
Bank of Fuxin,Other Private Sector,Other Non-Chinese,1
Bank of Ganzhou,Other Private Sector,Other Non-Chinese,1
Bank of Jiujiang,Other Private Sector,Other Non-Chinese,1
Bank of Weifang,Other Private Sector,Other Non-Chinese,1
Bank of Zhengzhou,Other Private Sector,Other Non-Chinese,1
China COSCO Shipping Corporation Limited (COSCO),Other Chinese Institution,Chinese,1
China Construction Bank Corporation (CCB)|China Development Bank (CDB),Chinese State-owned Policy Bank,Chinese,1
China Construction Bank Corporation (CCB)|China Development Bank (CDB)|Export-Import Bank of China (China Eximbank)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,1
China Construction Bank Corporation (CCB)|China Development Bank (CDB)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,1
"China Construction Bank, Johannesburg branch",Chinese State-owned Commercial Bank,Chinese,1
China Development Bank (CDB)|Export-Import Bank of China (China Eximbank)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,1
China Development Bank (CDB)|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Policy Bank,Chinese,1
China Development Bank (CDB)|ZTE Corporation,Chinese State-owned Policy Bank,Chinese,1
China Everbright Bank,Other Private Sector,Chinese,1
China Railway Engineering Corporation (CRECG) |SinoHydro,Other Chinese Institution,Chinese,1
Harbin Bank Financial Leasing,Other Private Sector,Other Non-Chinese,1
"Huaxia Bank Co., Ltd.",Other Private Sector,Other Non-Chinese,1
Huishang Bank,Other Private Sector,Other Non-Chinese,1
ICBC Asia|Industrial and Commercial Bank of China (Malaysia) Berhad,Chinese State-owned Commercial Bank,Chinese,1
Industrial and Commercial Bank of China (Asia) Limited (ICBC (Asia))|Industrial and Commercial Bank of China (ICBC),Chinese State-owned Commercial Bank,Chinese,1
Industrial and Commercial Bank of China (ICBC) (Singapore branch),Chinese State-owned Commercial Bank,Chinese,1
Industrial and Commercial Bank of China (Moscow),Chinese State-owned Commercial Bank,Chinese,1
Industrial and Commercial Bank of China USA NA,Chinese State-owned Commercial Bank,Chinese,1
MCC-JJJ Mining Development Company Limited,Other Private Sector,Other Non-Chinese,1
PT Bank China Construction Bank Indonesia,Chinese State-owned Commercial Bank,Chinese,1
Power China Finance Company Ltd,Other Chinese Institution,Chinese,1
"Shanghai Rural Commercial Bank Co., Ltd. (SRCB)",Other Private Sector,Other Non-Chinese,1
ZAO Industrial and Commercial Bank of China (Moscow),Chinese State-owned Commercial Bank,Chinese,1
