transaction_id,total_observations,green_count,brown_count,grey_count,neutral_count,total_amount_billions,pct_green,pct_brown,pct_grey,pct_neutral,has_green_and_brown,is_uniform,dominant_class,transaction_class
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2009-02-01,2,0,1,0,1,6.00804019309916,0,50,0,50,FALSE,FALSE,Mixed (No Clear Dominant),BROWN
Turkmengaz-Turkmenistan-2009-06-25,1,0,1,0,0,6.00804019309916,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2016-01-01,1,0,1,0,0,5.9040225417923295,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2017-12-14,1,0,1,0,0,5.76169078510486,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2013-11-01,1,0,1,0,0,5.64018276094917,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Banco de Desarrollo Económico y Social de Venezuela (BANDES)|Pétroleos de Venezuela S.A. (PDVSA)-Venezuela-2013-09-18,1,0,1,0,0,5.64018276094917,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2015-04-01,1,0,1,0,0,5.61137784789476,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of Venezuela-Venezuela-2015-09-01,1,0,1,0,0,5.61137784789476,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2015-04-01,2,0,2,0,0,5.61137784789475,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Asia Gas Pipeline LLP (AGP)-Kazakhstan-2012-12-27,2,0,2,0,0,5.51838072225146,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Central Bank of the Republic of Turkey (TCMB)-Turkey-2021-06-15,1,0,0,0,1,5.42635658914728,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Asia Trans Gas LLC-Uzbekistan-2008-11-18,2,0,2,0,0,5.33605072682166,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Malaysia Rail Link Sdn Bhd (MRL)-Malaysia-2018-01-01,1,0,0,0,1,5.32127012940399,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Argentina Ministry of Economy-Argentina-2014-08-01,3,3,0,0,0,5.219234404190603,100,0,0,0,FALSE,TRUE,GREEN,GREEN
Turkmengaz-Turkmenistan-2011-04-01,1,0,1,0,0,5.04250874349923,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of Pakistan-Pakistan-2016-04-28,6,0,0,0,6,4.9414989419843325,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2011-06-01,1,0,1,0,0,4.9195207253651,0,100,0,0,FALSE,TRUE,BROWN,BROWN
State Bank of Pakistan (SBP)-Pakistan-2020-07-01,1,0,0,0,1,4.85581305385825,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2012-02-01,1,0,1,0,0,4.6964942317033795,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Pétroleos de Venezuela S.A. (PDVSA)-Venezuela-2012-02-01,1,0,0,0,1,4.6964942317033795,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2021-07-01,1,0,0,0,1,4.65116279069767,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Government of Angola-Angola-2015-12-09,6,0,4,0,2,4.610420267387285,0,66.66666666666666,0,33.33333333333333,FALSE,FALSE,BROWN,BROWN
PT Kereta Cepat Indonesia China (KCIC)-Indonesia-2017-05-14,2,0,0,1,1,4.571901637980701,0,0,50,50,FALSE,FALSE,Mixed (No Clear Dominant),Mixed (No Clear Dominant)
"Petrolera Sinovensa, S.A-Venezuela-2013-06-03",1,0,1,0,0,4.52906675704218,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Mangistau Investments B.V. (MIBV)-Kazakhstan-2009-04-15,1,0,1,0,0,4.50603014482437,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Sino–Congolais des Mines (Sicomines SARL)-Congo - Kinshasa-2008-04-22,3,0,0,2,1,4.4982925922137715,0,0,66.66666666666666,33.33333333333333,FALSE,FALSE,GREY,GREY
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2014-07-01,1,0,1,0,0,4.428380925633951,0,100,0,0,FALSE,TRUE,BROWN,BROWN
State Bank of Pakistan (SBP)-Pakistan-2019-07-01,2,0,0,0,2,4.3959649203653495,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
OOO Gazprom Pererabotka Blagoveshchensk-Russia-2020-03-01,3,0,3,0,0,4.31505205466589,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Central Bank of Egypt-Egypt-2018-01-01,2,0,0,0,2,4.11957206791368,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Oman Ministry of Finance-Oman-2017-08-03,2,0,0,0,2,4.09080045742445,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Government of Pakistan-Pakistan-2015-12-15,1,1,0,0,0,4.06056269880277,100,0,0,0,FALSE,TRUE,GREEN,GREEN
Government of Angola-Angola-2016-12-05,4,4,0,0,0,4.000849067400484,100,0,0,0,FALSE,TRUE,GREEN,GREEN
Laos-China Railway Company (LCRC)-Laos-2019-06-01,1,0,0,0,1,3.97741872740797,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Amur Gas Chemical Complex LLC (AGCC)-Russia-2021-12-01,4,0,4,0,0,3.68,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Sociedade Nacional de Combustiveis de Angola (Sonangol)-Angola-2010-11-19,1,0,0,0,1,3.4818173394906,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
CITIC Group Corporation-Kazakhstan-2006-12-01,1,0,1,0,0,3.47463293578896,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Baha Mar Ltd.-Bahamas-2010-05-31,1,0,0,0,1,3.41218099270078,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
International Finance Corporation (IFC)-Multi-Region-2013-09-17,1,0,0,0,1,3.3841096565695,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Government of Cuba-Cuba-2016-01-01,4,1,0,0,3,3.34167675865446,25,0,0,75,FALSE,FALSE,NEUTRAL,GREEN
State Bank of Pakistan (SBP)-Pakistan-2018-07-01,1,0,0,0,1,3.29565765433094,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Central Bank of Egypt-Egypt-2017-01-01,1,0,0,0,1,3.06951553845599,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Government of Angola-Angola-2007-09-28,18,0,0,4,14,3.067706330531097,0,0,22.22222222222222,77.77777777777779,FALSE,FALSE,NEUTRAL,NEUTRAL
Thai Airways (THAI)-Thailand-2010-10-22,1,0,0,0,1,3.06399925875172,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Central Bank of Egypt-Egypt-2019-01-01,1,0,0,0,1,2.94516027729289,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Arctic LNG 2 LLC-Russia-2021-11-30,1,0,1,0,0,2.94117647058823,0,100,0,0,FALSE,TRUE,BROWN,BROWN
"Ministry of Housing, Utilities & Urban Communities (Egypt)|New Urban Communities Authority (NUCA)-Egypt-2019-04-28",1,0,0,0,1,2.92126799188156,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Central Bank of Egypt-Egypt-2020-01-01,1,0,0,0,1,2.91348783231495,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Government of Bangladesh-Bangladesh-2018-04-27,1,0,0,0,1,2.9076537363554302,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
PT Bumi Resources Tbk (PT Bumi)-Indonesia-2009-09-18,1,0,1,0,0,2.8538190917221,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Papua New Guinea Liquefied Natural Gas Global Company LDC-Papua New Guinea-2009-12-15,2,0,2,0,0,2.853819091722095,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Sonangol Finance Limited-Angola-2013-01-01,1,0,1,0,0,2.82009138047458,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of Ethiopia-Ethiopia-2013-05-15,3,0,0,0,3,2.809668322732345,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
POLY-GCL Petroleum Group Holdings Limited-Ethiopia-2018-01-01,1,0,1,0,0,2.80745295053547,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Central Bank of Egypt-Egypt-2021-01-01,1,0,0,0,1,2.7906976744186003,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Minera Chinalco Perú S.A.-Peru-2010-12-01,1,0,0,1,0,2.7854538715924804,0,0,100,0,FALSE,TRUE,GREY,GREY
KAZ Minerals Finance PLC (Formerly Kazykhmys Finance PLC)-Kazakhstan-2009-12-30,1,0,0,1,0,2.76970652901871,0,0,100,0,FALSE,TRUE,GREY,GREY
Nigeria National Petroleum Corporation (NNPC)-Nigeria-2020-08-01,2,0,0,2,0,2.74400615750032,0,0,100,0,FALSE,TRUE,GREY,GREY
Electricity Supply Organization (Eskom)-South Africa-2018-07-24,1,0,1,0,0,2.72462436969669,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Tianqi Lithium Australia Investments 1 Pty. Ltd. (TLAI1)-Chile-2018-10-26,2,0,0,2,0,2.72462436969668,0,0,100,0,FALSE,TRUE,GREY,GREY
ZTE Corporation-Ethiopia-2007-01-01,1,0,0,0,1,2.69889657432615,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
EP Petroecuador-Ecuador-2014-05-15,1,0,1,0,0,2.65702855538037,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Japan International Finance Management (Tangguh) Corporation-Indonesia-2006-08-01,1,0,1,0,0,2.6415338108337103,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of Angola-Angola-2014-05-09,4,1,0,0,3,2.6339224372313583,25,0,0,75,FALSE,FALSE,NEUTRAL,GREEN
Gazprom-Russia-2016-03-03,1,0,1,0,0,2.6118821789899203,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Pétroleos de Venezuela S.A. (PDVSA)-Venezuela-2016-11-18,1,0,1,0,0,2.59776991838862,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Central Bank of Argentina (BCRA)-Argentina-2014-01-01,1,0,0,0,1,2.5514456859438,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Government of Pakistan-Pakistan-2015-12-18,1,1,0,0,0,2.52512003155264,100,0,0,0,FALSE,TRUE,GREEN,GREEN
Argentina Ministry of Economy-Argentina-2012-06-25,2,0,0,0,2,2.465619356538789,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Sonangol Finance Limited-Angola-2011-11-21,1,0,1,0,0,2.45976036268255,0,100,0,0,FALSE,TRUE,BROWN,BROWN
State Bank of Pakistan (SBP)-Pakistan-2019-03-19,3,0,0,0,3,2.453528043796833,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Government of Angola-Angola-2009-11-18,1,0,1,0,0,2.41072612748104,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Reliance Communications Ltd.-India-2011-03-09,3,0,0,0,3,2.373668749988656,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Kazakhstan Petrochemical Industries LLP (KPI)-Kazakhstan-2016-09-03,1,0,1,0,0,2.36160901671693,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Vinh Tan 3 Energy Joint Stock Company (VTEC)-Vietnam-2016-09-01,1,0,1,0,0,2.36160901671693,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Ecuador Ministry of Economy and Finance-Ecuador-2012-12-20,2,0,2,0,0,2.349626462484407,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Ministry of Finance (Ecuador)-Ecuador-2016-04-29,2,0,2,0,0,2.349608550108341,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Myanmar Oil and Gas Enterprise (MOGE)-Myanmar-2010-12-16,2,0,2,0,0,2.3491014258423473,0,100,0,0,FALSE,TRUE,BROWN,BROWN
CNPC International Limited-Kazakhstan-2005-09-01,1,0,1,0,0,2.34385201758328,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of Ecuador-Ecuador-2010-06-03,1,1,0,0,0,2.34360428757644,100,0,0,0,FALSE,TRUE,GREEN,GREEN
Sudan National Petroleum Corporation (Sudapet)-Sudan-2012-01-15,1,0,1,0,0,2.32785255560093,0,100,0,0,FALSE,TRUE,BROWN,BROWN
EP Petroecuador-Ecuador-2013-08-03,1,0,1,0,0,2.25607310437967,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Development Bank of Kazakhstan JSC (DBK)-Kazakhstan-2009-10-24,1,0,1,0,0,2.25301507241218,0,100,0,0,FALSE,TRUE,BROWN,BROWN
State Bank of Pakistan (SBP)-Pakistan-2019-03-23,1,0,0,0,1,2.24712922452427,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2015-10-13,1,0,1,0,0,2.2445511391579,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of Pakistan-Pakistan-2020-03-23,1,0,0,0,1,2.2336740047747896,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
"China Yangtze Power International (Hong Kong) Co., Ltd. (CYPI)-Peru-2020-01-01",2,0,0,0,2,2.23367400477478,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
China National Petroleum Corporation (CNPC)-Syria-2010-05-01,1,0,1,0,0,2.2283630972739803,0,100,0,0,FALSE,TRUE,BROWN,BROWN
China Railway Engineering Corporation (CRECG)-Iran-2019-06-01,1,0,0,0,1,2.22523220951018,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Sonangol Finance Limited-Angola-2014-12-12,1,0,1,0,0,2.21419046281697,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Angola Ministry of Finance-Angola-2018-10-09,1,0,0,0,1,2.17969949575735,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2018-03-23,1,0,0,0,1,2.17969949575735,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Bangladesh-China Power Company (Pvt.) Ltd. (BCPCL)-Bangladesh-2018-05-12,1,0,1,0,0,2.16226189979129,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of South Sudan-South Sudan-2015-01-01,2,0,1,0,1,2.1614511155992044,0,50,0,50,FALSE,FALSE,Mixed (No Clear Dominant),BROWN
VTB Bank-Russia-2015-09-03,1,0,0,0,1,2.1426472968868797,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Bank of Mongolia-Mongolia-2016-01-01,1,0,0,0,1,2.13235682053692,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Beineu-Shymkent Gas Pipeline LLP (BSGP)-Kazakhstan-2012-12-11,1,0,1,0,0,2.11342240426652,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Kenya National Treasury-Kenya-2014-05-11,1,0,0,0,1,2.10725040787657,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Janakuasa Vietnam Limited (Công ty TNHH Janakuasa Việt Nam)-Vietnam-2016-12-28,2,0,2,0,0,2.0782159347109,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Bank of Mongolia-Mongolia-2015-01-01,1,0,0,0,1,2.05337032618326,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Bank of Mongolia-Mongolia-2017-01-01,1,0,0,0,1,2.04634369230399,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Government of Sudan-Sudan-2007-01-01,6,1,0,1,4,2.0320303077045767,16.666666666666664,0,16.666666666666664,66.66666666666666,FALSE,FALSE,NEUTRAL,GREEN
PT OKI Pulp & Paper Mills (OKI)-Indonesia-2013-10-03,1,0,1,0,0,2.0304657939417,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of Pakistan-Pakistan-2021-03-23,1,0,0,0,1,2,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Kingho Railway and Port Company Limited-Sierra Leone-2021-01-01,1,0,1,0,0,2,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of Nigeria-Nigeria-2017-08-18,2,0,0,0,2,1.991401692865475,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Government of Iran-Iran-2018-01-01,1,0,1,0,0,1.98134684164343,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Bank of Mongolia-Mongolia-2018-01-01,1,0,0,0,1,1.97739459259856,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Vnesheconombank (VEB Bank or VEB.RF)-Russia-2018-09-01,1,0,1,0,0,1.97739459259856,0,100,0,0,FALSE,TRUE,BROWN,BROWN
RPCL-NORINCO Intl. Power Ltd. (RNPL)-Bangladesh-2020-12-24,2,0,2,0,0,1.9768014942256962,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Bank of Mongolia-Mongolia-2019-01-01,1,0,0,0,1,1.9634401848619298,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Bank of Mongolia-Mongolia-2020-01-01,1,0,0,0,1,1.9423252215433,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Suria Strategic Energy Resources Sdn Bhd (SSER)-Malaysia-2017-03-22,1,0,1,0,0,1.93038421640676,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Iraq Ministry of Finance-Iraq-2021-11-01,2,0,0,0,2,1.92695,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Myanmar Economic Corporation|Myanmar Foreign Trade Bank (MFTB)-Myanmar-2010-07-14,1,0,1,0,0,1.92266023118867,0,100,0,0,FALSE,TRUE,BROWN,BROWN
"Hengyi Industrial (Brunei) Co., Ltd.-Brunei-2018-08-01",5,0,5,0,0,1.9072370587876808,0,100,0,0,FALSE,TRUE,BROWN,BROWN
DSME Hull No. 2423 L.L.C.|DSME Hull No. 2425 L.L.C.|DSME Hull No. 2430 L.L.C.|DSME Hull No. 2431 L.L.C.|DSME Hull No. 2433 L.L.C.|DSME Hull No. 2434 L.L.C.-Russia-2017-12-08,1,0,0,1,0,1.88061587225822,0,0,100,0,FALSE,TRUE,GREY,GREY
Bank of Mongolia-Mongolia-2021-01-01,1,0,0,0,1,1.86046511627906,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
"Nam Ou Power Co., Ltd.-Laos-2016-09-08",3,3,0,0,0,1.8479590555809988,100,0,0,0,FALSE,TRUE,GREEN,GREEN
KAZ Minerals Aktogay Finance Limited-Kazakhstan-2011-12-16,2,0,0,2,0,1.838289118985749,0,0,100,0,FALSE,TRUE,GREY,GREY
Government of Pakistan-Pakistan-2015-12-21,3,0,0,0,3,1.8289162599090099,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Nam Dinh First Power Company Limited-Vietnam-2019-12-16,6,0,6,0,0,1.8201746718646619,0,100,0,0,FALSE,TRUE,BROWN,BROWN
State Bank of Pakistan (SBP)-Pakistan-2014-07-01,1,0,0,0,1,1.7967927365801402,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Attarat Power Company (APCO)-Jordan-2017-03-16,4,0,4,0,0,1.794190510481654,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Port Qasim Electric Power Company (Pvt.) Limited (PQEPCPL)-Pakistan-2015-10-16,1,0,1,0,0,1.7938228249036,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Coral South FLNG DMCC13-Mozambique-2017-11-23,3,0,3,0,0,1.7861241433825068,0,100,0,0,FALSE,TRUE,BROWN,BROWN
State Bank of Pakistan (SBP)-Pakistan-2015-07-01,1,0,0,0,1,1.7855394140724001,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2016-07-01,1,0,0,0,1,1.7769640171141,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Government of Kenya-Kenya-2014-05-11,1,0,0,0,1,1.77135237025358,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Kafue Gorge Lower (KGL) Power Development Corporation Limited-Zambia-2017-11-13,2,2,0,0,0,1.763741172146096,100,0,0,0,FALSE,TRUE,GREEN,GREEN
Special Purpose Vehicle (Unknown Name)-Venezuela-2012-02-27,1,0,1,0,0,1.76118533688876,0,100,0,0,FALSE,TRUE,BROWN,BROWN
State Food & Grain Corp of Ukraine (SFGCU)-Ukraine-2012-12-26,1,0,0,0,1,1.76118533688876,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Sudan National Petroleum Corporation (Sudapet)-Sudan-2012-12-31,1,0,0,0,1,1.76118533688876,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Cambodian PPSHV Expressway Co Ltd.-Cambodia-2019-04-22,2,0,0,0,2,1.7527607951289361,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Electricity Supply Organization (Eskom)-South Africa-2017-07-06,1,0,1,0,0,1.7285072355314601,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Electricity Supply Organization (Eskom)-South Africa-2017-10-27,1,0,0,1,0,1.7285072355314601,0,0,100,0,FALSE,TRUE,GREY,GREY
China Power Hub Generation Company (CPHGC)-Pakistan-2017-10-24,5,0,5,0,0,1.723897882903375,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Ministry of Finance (Ecuador)-Ecuador-2011-06-27,1,0,0,0,1,1.72183225387778,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Iran Bank of Industry and Mines-Iran-2017-07-25,1,1,0,0,0,1.7187799220711601,100,0,0,0,FALSE,TRUE,GREEN,GREEN
Vale of Brazil-Brazil-2010-09-01,1,0,0,0,1,1.71166140409357,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Sinar Mas Group-Indonesia-2015-03-27,1,0,1,0,0,1.69463611006421,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Gazprom-Russia-2015-08-01,3,0,3,0,0,1.6834133543684282,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Transnet-South Africa-2015-06-04,1,0,0,0,1,1.68341335436842,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
Government of Angola-Angola-2013-01-01,9,1,0,3,5,1.6795048196874904,11.11111111111111,0,33.33333333333333,55.55555555555556,FALSE,FALSE,NEUTRAL,GREEN
Vnesheconombank (VEB Bank or VEB.RF)-Russia-2012-06-05,1,0,1,0,0,1.67899668783395,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Government of Venezuela-Venezuela-2006-08-24,1,0,0,0,1,1.67331007170889,0,0,0,100,FALSE,TRUE,NEUTRAL,NEUTRAL
CMOC DRC Limited-Congo - Kinshasa-2016-11-15,3,0,0,3,0,1.67083837932723,0,0,100,0,FALSE,TRUE,GREY,GREY
National Iranian Tanker Company (NITC)-Iran-2009-01-01,1,0,1,0,0,1.67023517368156,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Gold Mountains (H.K.) International Mining Company Limited-Eritrea-2018-08-31,2,0,0,2,0,1.667470114254374,0,0,100,0,FALSE,TRUE,GREY,GREY
Pétroleos de Venezuela S.A. (PDVSA)-Venezuela-2014-12-01,1,0,1,0,0,1.6606428471127301,0,100,0,0,FALSE,TRUE,BROWN,BROWN
Huaneng Shandong Ruyi (Pakistan) Energy Ltd.-Pakistan-2017-02-01,4,0,4,0,0,1.6593669461101999,0,100,0,0,FALSE,TRUE,BROWN,BROWN
