transaction_id,transaction_primary_class
Sonangol Finance Limited-Angola-2013-01-01,BROWN
Government of Ethiopia-Ethiopia-2013-05-15,NEUTRAL
POLY-GCL Petroleum Group Holdings Limited-Ethiopia-2018-01-01,BROWN
Central Bank of Egypt-Egypt-2021-01-01,NEUTRAL
Minera Chinalco Perú S.A.-Peru-2010-12-01,GREY
KAZ Minerals Finance PLC (Formerly Kazykhmys Finance PLC)-Kazakhstan-2009-12-30,GREY
Nigeria National Petroleum Corporation (NNPC)-Nigeria-2020-08-01,GREY
Electricity Supply Organization (Eskom)-South Africa-2018-07-24,BROWN
Tianqi Lithium Australia Investments 1 Pty. Ltd. (TLAI1)-Chile-2018-10-26,GREY
ZTE Corporation-Ethiopia-2007-01-01,NEUTRAL
EP Petroecuador-Ecuador-2014-05-15,BROWN
Japan International Finance Management (Tangguh) Corporation-Indonesia-2006-08-01,BROWN
Government of Angola-Angola-2014-05-09,GREEN
Gazprom-Russia-2016-03-03,BROWN
Pétroleos de Venezuela S.A. (PDVSA)-Venezuela-2016-11-18,BROWN
Central Bank of Argentina (BCRA)-Argentina-2014-01-01,NEUTRAL
Government of Pakistan-Pakistan-2015-12-18,GREEN
Argentina Ministry of Economy-Argentina-2012-06-25,NEUTRAL
Sonangol Finance Limited-Angola-2011-11-21,BROWN
State Bank of Pakistan (SBP)-Pakistan-2019-03-19,NEUTRAL
Government of Angola-Angola-2009-11-18,BROWN
Reliance Communications Ltd.-India-2011-03-09,NEUTRAL
Kazakhstan Petrochemical Industries LLP (KPI)-Kazakhstan-2016-09-03,BROWN
Vinh Tan 3 Energy Joint Stock Company (VTEC)-Vietnam-2016-09-01,BROWN
Ecuador Ministry of Economy and Finance-Ecuador-2012-12-20,BROWN
Ministry of Finance (Ecuador)-Ecuador-2016-04-29,BROWN
Myanmar Oil and Gas Enterprise (MOGE)-Myanmar-2010-12-16,BROWN
CNPC International Limited-Kazakhstan-2005-09-01,BROWN
Government of Ecuador-Ecuador-2010-06-03,GREEN
Sudan National Petroleum Corporation (Sudapet)-Sudan-2012-01-15,BROWN
EP Petroecuador-Ecuador-2013-08-03,BROWN
Development Bank of Kazakhstan JSC (DBK)-Kazakhstan-2009-10-24,BROWN
State Bank of Pakistan (SBP)-Pakistan-2019-03-23,NEUTRAL
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2015-10-13,BROWN
Government of Pakistan-Pakistan-2020-03-23,NEUTRAL
"China Yangtze Power International (Hong Kong) Co., Ltd. (CYPI)-Peru-2020-01-01",NEUTRAL
China National Petroleum Corporation (CNPC)-Syria-2010-05-01,BROWN
China Railway Engineering Corporation (CRECG)-Iran-2019-06-01,NEUTRAL
Sonangol Finance Limited-Angola-2014-12-12,BROWN
Angola Ministry of Finance-Angola-2018-10-09,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2018-03-23,NEUTRAL
Bangladesh-China Power Company (Pvt.) Ltd. (BCPCL)-Bangladesh-2018-05-12,BROWN
Government of South Sudan-South Sudan-2015-01-01,BROWN
VTB Bank-Russia-2015-09-03,NEUTRAL
Bank of Mongolia-Mongolia-2016-01-01,NEUTRAL
Beineu-Shymkent Gas Pipeline LLP (BSGP)-Kazakhstan-2012-12-11,BROWN
Kenya National Treasury-Kenya-2014-05-11,NEUTRAL
Janakuasa Vietnam Limited (Công ty TNHH Janakuasa Việt Nam)-Vietnam-2016-12-28,BROWN
Bank of Mongolia-Mongolia-2015-01-01,NEUTRAL
Bank of Mongolia-Mongolia-2017-01-01,NEUTRAL
Government of Sudan-Sudan-2007-01-01,GREEN
PT OKI Pulp & Paper Mills (OKI)-Indonesia-2013-10-03,BROWN
Government of Pakistan-Pakistan-2021-03-23,NEUTRAL
Kingho Railway and Port Company Limited-Sierra Leone-2021-01-01,BROWN
Government of Nigeria-Nigeria-2017-08-18,NEUTRAL
Government of Iran-Iran-2018-01-01,BROWN
Bank of Mongolia-Mongolia-2018-01-01,NEUTRAL
Vnesheconombank (VEB Bank or VEB.RF)-Russia-2018-09-01,BROWN
RPCL-NORINCO Intl. Power Ltd. (RNPL)-Bangladesh-2020-12-24,BROWN
Bank of Mongolia-Mongolia-2019-01-01,NEUTRAL
Bank of Mongolia-Mongolia-2020-01-01,NEUTRAL
Suria Strategic Energy Resources Sdn Bhd (SSER)-Malaysia-2017-03-22,BROWN
Iraq Ministry of Finance-Iraq-2021-11-01,NEUTRAL
Myanmar Economic Corporation|Myanmar Foreign Trade Bank (MFTB)-Myanmar-2010-07-14,BROWN
"Hengyi Industrial (Brunei) Co., Ltd.-Brunei-2018-08-01",BROWN
DSME Hull No. 2423 L.L.C.|DSME Hull No. 2425 L.L.C.|DSME Hull No. 2430 L.L.C.|DSME Hull No. 2431 L.L.C.|DSME Hull No. 2433 L.L.C.|DSME Hull No. 2434 L.L.C.-Russia-2017-12-08,GREY
Bank of Mongolia-Mongolia-2021-01-01,NEUTRAL
"Nam Ou Power Co., Ltd.-Laos-2016-09-08",GREEN
KAZ Minerals Aktogay Finance Limited-Kazakhstan-2011-12-16,GREY
Government of Pakistan-Pakistan-2015-12-21,NEUTRAL
Nam Dinh First Power Company Limited-Vietnam-2019-12-16,BROWN
State Bank of Pakistan (SBP)-Pakistan-2014-07-01,NEUTRAL
Attarat Power Company (APCO)-Jordan-2017-03-16,BROWN
Port Qasim Electric Power Company (Pvt.) Limited (PQEPCPL)-Pakistan-2015-10-16,BROWN
Coral South FLNG DMCC13-Mozambique-2017-11-23,BROWN
State Bank of Pakistan (SBP)-Pakistan-2015-07-01,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2016-07-01,NEUTRAL
Government of Kenya-Kenya-2014-05-11,NEUTRAL
Kafue Gorge Lower (KGL) Power Development Corporation Limited-Zambia-2017-11-13,GREEN
Special Purpose Vehicle (Unknown Name)-Venezuela-2012-02-27,BROWN
State Food & Grain Corp of Ukraine (SFGCU)-Ukraine-2012-12-26,NEUTRAL
Sudan National Petroleum Corporation (Sudapet)-Sudan-2012-12-31,NEUTRAL
Cambodian PPSHV Expressway Co Ltd.-Cambodia-2019-04-22,NEUTRAL
Electricity Supply Organization (Eskom)-South Africa-2017-07-06,BROWN
Electricity Supply Organization (Eskom)-South Africa-2017-10-27,GREY
China Power Hub Generation Company (CPHGC)-Pakistan-2017-10-24,BROWN
Ministry of Finance (Ecuador)-Ecuador-2011-06-27,NEUTRAL
Iran Bank of Industry and Mines-Iran-2017-07-25,GREEN
Vale of Brazil-Brazil-2010-09-01,NEUTRAL
Sinar Mas Group-Indonesia-2015-03-27,BROWN
Gazprom-Russia-2015-08-01,BROWN
Transnet-South Africa-2015-06-04,NEUTRAL
Government of Angola-Angola-2013-01-01,GREEN
Vnesheconombank (VEB Bank or VEB.RF)-Russia-2012-06-05,BROWN
Government of Venezuela-Venezuela-2006-08-24,NEUTRAL
CMOC DRC Limited-Congo - Kinshasa-2016-11-15,GREY
National Iranian Tanker Company (NITC)-Iran-2009-01-01,BROWN
Gold Mountains (H.K.) International Mining Company Limited-Eritrea-2018-08-31,GREY
Pétroleos de Venezuela S.A. (PDVSA)-Venezuela-2014-12-01,BROWN
Huaneng Shandong Ruyi (Pakistan) Energy Ltd.-Pakistan-2017-02-01,BROWN
OJSC Nedra Nezhin|Slavkali LLC-Belarus-2016-06-17,BROWN
SK Hydro (Private) Limited (SKHPL)-Pakistan-2017-01-09,GREEN
China National Chemical Corporation Ltd. (ChemChina)-Israel-2011-06-27,NEUTRAL
Government of Sudan-Sudan-2009-01-01,NEUTRAL
Tehran Urban and Suburban Railroad Company-Iran-2004-06-15,NEUTRAL
Bank of Mongolia-Mongolia-2014-01-01,NEUTRAL
Serbian Ministry of Finance-Serbia-2019-04-25,NEUTRAL
China Niobium Investment Holdings Limited-Brazil-2012-01-01,GREY
Karot Power Company Limited (KPCL)-Pakistan-2017-02-22,GREEN
Asia Trans Gas LLC-Uzbekistan-2013-01-01,BROWN
Government of Bangladesh-Bangladesh-2019-07-04,GREY
MCC Ramu NiCo Ltd.-Papua New Guinea-2008-07-23,GREY
Jaks Hai Duong Power Company Limited-Vietnam-2015-10-01,BROWN
Kenya National Treasury-Kenya-2015-12-03,NEUTRAL
Shenhua Guohua Power Jawa Bali-Indonesia-2016-09-29,BROWN
Vinh Tan 1 Power Company Limited-Vietnam-2014-12-31,BROWN
EMBA Elektrik Üretim A.Ş.-Turkey-2019-04-01,BROWN
Central Bank of Sri Lanka-Sri Lanka-2021-12-29,NEUTRAL
Government of Pakistan-Pakistan-2010-02-22,GREEN
China Gezhouba Group Company Ltd. (CGGC)-Pakistan-2021-12-31,GREEN
Vietnam Electricity (EVN)-Vietnam-2010-12-17,BROWN
Standard Bank of South Africa Limited (Standard Bank)-South Africa-2009-09-02,NEUTRAL
América Móvil-Mexico-2009-04-28,NEUTRAL
Banco de Desarrollo Económico y Social de Venezuela (BANDES)-Venezuela-2009-12-22,BROWN
EP Petroecuador-Ecuador-2009-07-27,BROWN
FPSO Almirante Tamandaré (Búzios 6)-Brazil-2021-08-20,BROWN
Government of Sudan-Sudan-2003-12-23,GREEN
Vietnam Oil and Gas Group (Petrovietnam or PVN)-Vietnam-2010-01-01,BROWN
Government of Equatorial Guinea-Equatorial Guinea-2009-01-01,NEUTRAL
Botswana Power Corporation-Botswana-2009-06-15,BROWN
Pak Matiari-Lahore Transmission Company (Private) Limited (PMLTC or Pak MLTC)-Pakistan-2018-11-09,GREY
Ecuacorriente SA (ECSA)-Ecuador-2014-01-01,GREY
Sonangol Sinopec International-Angola-2006-05-12,BROWN
Vnesheconombank (VEB Bank or VEB.RF)-Russia-2016-09-01,GREY
Government of Angola-Angola-2005-03-01,NEUTRAL
"Shandong Iron and Steel Group Co., Ltd.-Sierra Leone-2012-01-01",BROWN
Perusahaan Listrik Negara (PLN)-Indonesia-2009-05-04,BROWN
Government of Angola-Angola-2018-05-09,NEUTRAL
Ministry of Finance (Ecuador)-Ecuador-2010-08-31,BROWN
Reliance Power Ltd.-India-2010-12-15,BROWN
"Taurus Mineral Ltd.,-Namibia-2012-01-30",GREY
PT Huadian Bukit Asam Power (HBAP)-Indonesia-2018-05-24,BROWN
Tanzania Ministry of Finance and Planning-Tanzania-2012-06-20,GREY
Unspecified Company (Special Purpose Vehicle)-Iran-2006-12-02,NEUTRAL
Government of Bangladesh-Bangladesh-2016-11-14,BROWN
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2007-12-27,BROWN
Uzbekistan GTL LLC (UzGTL)-Uzbekistan-2019-04-24,BROWN
China National Petroleum Corporation (CNPC)-Niger-2008-09-02,BROWN
Sri Lanka Ministry of Finance-Sri Lanka-2009-12-25,BROWN
Turkcell İletişim Hizmetleri A.Ş. (Turkcell)-Turkey-2015-10-23,NEUTRAL
Électricité du Laos (EDL)-Laos-2014-07-28,GREEN
Development Bank of Kazakhstan JSC (DBK)-Kazakhstan-2009-12-12,BROWN
Atyrau Refinery LLP (AR)-Kazakhstan-2012-06-06,BROWN
AviaAM Financial Leasing China-Russia-2017-01-01,NEUTRAL
Government of Iran-Iran-2016-01-01,BROWN
Government of Belarus-Belarus-2011-06-14,BROWN
PT Sumber Segara Primadaya (S2P)-Indonesia-2016-09-19,BROWN
Government of Turkey-Turkey-2007-07-17,NEUTRAL
SS Power I Limited-Bangladesh-2018-12-28,BROWN
Vietnam Electricity (EVN)-Vietnam-2012-01-01,BROWN
State Bank of Pakistan (SBP)-Pakistan-2000-01-01,NEUTRAL
Government of Guinea-Guinea-2018-09-04,GREEN
"CITIC Construction Co., Ltd. (中信建设有限责任公司)|Maisan Power Company|Raban Al-Safina for General Contracting Ltd-Iraq-2019-07-25",GREY
Iraq Ministry of Finance-Iraq-2020-01-01,BROWN
Government of Zimbabwe-Zimbabwe-2015-12-01,BROWN
Government of Nigeria-Nigeria-2010-12-20,NEUTRAL
Pengerang Petrochemical Sdn Bhd|Pengerang Refining Company Sdn Bhd-Malaysia-2019-11-05,BROWN
MegaFon-Russia-2011-06-01,NEUTRAL
EP Petroecuador-Ecuador-2011-01-28,BROWN
Thar Coal Block-1 Power Generation Company (Private) Limited (TCBPGCPL)-Pakistan-2020-03-06,BROWN
"Cambodia Airport Investment Co., Ltd.-Cambodia-2018-01-11",NEUTRAL
KMO Anadolu Otoyol Isletmesi-Turkey-2021-12-02,NEUTRAL
Government of Republic of Congo-Congo - Brazzaville-2005-12-19,GREY
Rio Paraná Energia S.A.-Brazil-2016-08-22,GREEN
State Bank of Pakistan (SBP)-Pakistan-2013-07-01,NEUTRAL
Central Bank of Egypt-Egypt-2016-01-23,NEUTRAL
GNPower Dinginin Ltd. Co. (GNPD)-Philippines-2016-09-03,BROWN
Oman Ministry of Finance-Oman-2016-06-01,NEUTRAL
Petrobras Global Trading B.V. (PGT BV)-Brazil-2016-01-01,BROWN
Koor Industries Ltd.-Israel-2011-06-27,NEUTRAL
Government of Republic of Congo-Congo - Brazzaville-2012-06-01,NEUTRAL
Sonangol Finance Limited-Angola-2012-12-27,BROWN
West African Oil Pipeline (Niger) Company S.A.-Niger-2019-01-01,BROWN
Bank Negara Malaysia-Malaysia-2020-01-01,NEUTRAL
CNODC Brasil Petróleo e Gás Ltda.-Brazil-2019-11-06,BROWN
National Bank of Angola-Angola-2017-01-27,NEUTRAL
National Bank of Angola-Angola-2017-12-09,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2017-05-15,NEUTRAL
Perusahaan Listrik Negara (PLN)-Indonesia-2009-10-14,BROWN
"China Nonferrous Metal Industry's Foreign Engineering and Construction Co., Ltd. (NFC)-Iran-2015-01-01",BROWN
Reliance Communications Ltd.-India-2008-06-04,NEUTRAL
Central Bank of the Republic of Turkey (TCMB)-Turkey-2019-06-01,NEUTRAL
Ethiopian Electric Power Corporation (EEPCo)-Ethiopia-2013-04-13,GREY
Government of Bangladesh-Bangladesh-2021-10-26,NEUTRAL
PT Bank Mandiri (Persero) Tbk-Indonesia-2015-09-16,NEUTRAL
PT Bank Rakyat Indonesia (Persero) Tbk-Indonesia-2015-09-16,NEUTRAL
PT Obsidian Stainless Steel-Indonesia-2019-12-01,BROWN
PT Bank Negara Indonesia (Persero)-Indonesia-2015-09-16,NEUTRAL
Avrupa Otoyolu Yatirim ve Iletme A.S|KMO Anadolu Otoyol Isletmesi-Turkey-2019-09-01,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2020-07-23,NEUTRAL
Shanghai International Port Group (Singapore) Pte. Ltd (SIPG)-Israel-2014-03-21,NEUTRAL
Sri Lanka Ministry of Finance-Sri Lanka-2019-03-22,NEUTRAL
Government of Nigeria-Nigeria-2013-09-28,GREEN
Government of South Sudan-South Sudan-2014-07-01,NEUTRAL
VimpelCom Holdings BV-Russia-2014-11-19,NEUTRAL
Alliance Steel (M) SDN BHD-Malaysia-2015-11-01,BROWN
Bank of Mongolia-Mongolia-2013-01-01,NEUTRAL
Government of Angola-Angola-2016-11-29,NEUTRAL
Ministry of Mines (Myanmar)-Myanmar-2007-06-27,GREY
Government of Sri Lanka-Sri Lanka-2018-10-12,NEUTRAL
Reliance Communications Ltd.-India-2012-02-22,NEUTRAL
Minera Las Bambas S.A.C. (Minera Las Bambas)-Peru-2014-01-01,GREY
Sberbank-Russia-2015-05-08,NEUTRAL
Government of Equatorial Guinea-Equatorial Guinea-2007-01-01,GREEN
Kazakhstan-China Pipeline LLP (KCP)-Kazakhstan-2012-01-01,BROWN
Montenegrin Ministry of Finance-Montenegro-2014-10-30,NEUTRAL
Myanmar Wanbao Mining Copper Limited (MWMCL)-Myanmar-2010-01-01,GREY
Government of Republic of Congo-Congo - Brazzaville-2007-01-01,NEUTRAL
Bank Negara Malaysia-Malaysia-2021-01-01,NEUTRAL
Shanghai Overseas United Investment Company-Russia-2006-03-01,NEUTRAL
Government of Sudan-Sudan-2005-06-20,NEUTRAL
China Machinery Engineering Corporation (CMEC)-Iraq-2016-10-12,GREY
CMOC Brasil Administrative Services and Participations|CMOC Luxembourg S.à.r.l.-Brazil-2016-09-14,GREY
PJSC Rosneft Oil Company-Russia-2013-02-13,BROWN
Government of Pakistan-Pakistan-2021-07-23,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2021-06-28,NEUTRAL
Central Bank of Iran-Iran-2014-06-01,BROWN
Government of Ghana-Ghana-2012-06-13,GREY
PT Sumber Segara Primadaya (S2P)-Indonesia-2003-06-01,BROWN
Government of Ecuador-Ecuador-2018-12-20,BROWN
Government of Angola-Angola-2009-01-01,NEUTRAL
Petróleo Brasileiro S.A. (Petrobras)-Brazil-2018-05-30,BROWN
Government of Laos-Laos-2016-09-08,GREY
The First Dhaka Elevated Expressway Company (FDEE)-Bangladesh-2019-03-30,NEUTRAL
Pétroleos de Venezuela S.A. (PDVSA)-Venezuela-2010-04-23,NEUTRAL
Vnesheconombank (VEB Bank or VEB.RF)-Russia-2015-07-01,GREY
Government of Zambia-Zambia-2016-01-01,NEUTRAL
Novatek-Russia-2016-04-01,BROWN
"GN Power Kausawagan, Ltd. Co. (GNPK)-Philippines-2016-09-02",BROWN
Fortune Lianjiang Shipping S.A.-Cameroon-2015-01-01,BROWN
Government of Angola-Angola-2015-06-09,GREY
Perusahaan Listrik Negara (PLN)-Indonesia-2008-01-30,BROWN
Government of Equatorial Guinea-Equatorial Guinea-2015-01-01,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2012-07-01,NEUTRAL
Harbin Power Equipment Ltd.-Sudan-2003-01-01,GREY
Berli Jucker Public Company-Thailand-2016-03-16,NEUTRAL
CHEC Port City Colombo Ltd-Sri Lanka-2017-05-12,NEUTRAL
Amaria Hydraulic & Electrical Development Corporation SAU-Guinea-2020-01-01,GREEN
National Bank of Ukraine (NBU)-Ukraine-2015-06-23,NEUTRAL
Amur Gas Chemical Complex LLC-Russia-2021-12-01,BROWN
Pengerang Petrochemical Sdn Bhd|Pengerang Refining Company Sdn Bhd-Malaysia-2018-03-01,BROWN
JSC NC KazAvtoZhol-Kazakhstan-2017-04-24,NEUTRAL
PJSC State Transport Leasing Company (STLC) (GTLK)-Russia-2013-01-01,NEUTRAL
Vnesheconombank (VEB Bank or VEB.RF)-Russia-2013-10-01,NEUTRAL
Kazakhstan-China Pipeline LLP (KCP)-Kazakhstan-2008-08-12,BROWN
Development Bank of Kazakhstan JSC (DBK)-Kazakhstan-2019-04-26,GREY
Edra Power Holdings Sdn. Bhd. (EDRA)-Malaysia-2015-01-01,GREEN
Pan-Mediterranean Engineering Corporation-Israel-2014-06-01,NEUTRAL
Minera Las Bambas S.A.C. (Minera Las Bambas)-Peru-2020-10-19,GREY
PJSC MMC Norilsk Nickel-Russia-2020-02-20,NEUTRAL
Vnesheconombank (VEB Bank or VEB.RF)-Russia-2014-05-20,BROWN
Sunon Asogli Power (Ghana) Ltd.-Ghana-2008-01-01,GREY
Government of Belarus-Belarus-2010-12-22,GREY
"Hydro Power Lower Sesan 2 Co., Ltd.-Cambodia-2013-12-01",GREEN
Government of Côte d'Ivoire (Ivory Coast)-Côte d’Ivoire-2014-12-06,NEUTRAL
Government of Uganda-Uganda-2014-12-18,GREEN
UHE São Simão Energia S.A.-Brazil-2018-02-01,GREEN
IWH-CREC Sdn Bhd (ICSB)-Malaysia-2016-06-16,NEUTRAL
PJSC MMC Norilsk Nickel-Russia-2016-01-01,GREY
Government of Cuba-Cuba-2009-09-02,NEUTRAL
West African Oil Pipeline (Bénin) Company S.A. (WAPCO Bénin)-Benin-2021-01-01,BROWN
China North Industries Group Corporation Limited (NORINCO Group)-Iran-2019-01-05,NEUTRAL
Guangdong Rising H.K. (Holding) Ltd.-Laos-2015-03-28,GREY
Government of Sri Lanka-Sri Lanka-2012-09-17,NEUTRAL
Vietnam Electricity (EVN)-Vietnam-2006-04-01,BROWN
Vietnam Oil and Gas Group (Petrovietnam or PVN)-Vietnam-2011-04-12,BROWN
Government of South Sudan-South Sudan-2019-03-25,NEUTRAL
National Bank of Egypt-Egypt-2016-01-23,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2016-09-20,NEUTRAL
Government of Angola-Angola-2004-01-01,NEUTRAL
Chalco Hong Kong-Guinea-2012-04-19,BROWN
CamGSM (Mobitel)-Cambodia-2010-11-04,NEUTRAL
Government of Sudan-Sudan-2000-01-01,BROWN
National Iranian Tanker Company (NITC)-Iran-2001-01-01,BROWN
National Bank for Foreign Economic Activity of the Republic of Uzbekistan (NBU)-Uzbekistan-2018-06-05,NEUTRAL
Government of Equatorial Guinea-Equatorial Guinea-2010-01-01,NEUTRAL
Teekay LNG Partners L.P.-Marshall Islands-2016-12-01,GREY
Atlas Enerji Üretim A.Ş.-Turkey-2010-01-01,BROWN
Petrobras Global Trading B.V. (PGT BV)-Brazil-2019-12-23,BROWN
Government of Mozambique-Mozambique-2012-07-18,NEUTRAL
Vietnam Electricity (EVN)-Vietnam-2011-09-26,BROWN
Elektroprivreda BiH-Bosnia-2017-11-27,BROWN
Egypt Electricity Transmission Company-Egypt-2017-05-15,GREY
JSC NC KazAvtoZhol-Kazakhstan-2018-01-01,NEUTRAL
EP Petroecuador-Ecuador-2013-12-02,BROWN
PT Sumber Segara Primadaya (S2P)-Indonesia-2013-04-03,BROWN
AYAS Enerji Üretim ve Ticaret A.S-Turkey-2009-01-01,BROWN
United Energy Group (Hong Kong) Limited-Pakistan-2011-07-14,BROWN
Beineu-Shymkent Gas Pipeline LLP (BSGP)-Kazakhstan-2015-09-17,BROWN
Guangdong Guangxin Holdings Group-Indonesia-2015-05-04,BROWN
Government of Morocco-Morocco-2008-03-20,NEUTRAL
Government of Republic of Congo-Congo - Brazzaville-2006-06-19,NEUTRAL
State Bank of Pakistan (SBP)-Pakistan-2020-02-01,NEUTRAL
Sino-Congolaise Hydroélectrique (Sicohydro)-Congo - Kinshasa-2016-08-23,GREEN
Shandong Gold Group Corporation-Argentina-2017-06-20,BROWN
Government of Senegal-Senegal-2015-06-08,NEUTRAL
"Cameroon Ministry of Economy, Planning, and Regional Development (MINEPAT)-Cameroon-2017-04-05",NEUTRAL
Government of Bangladesh-Bangladesh-2020-06-07,GREY
Pétroleos de Venezuela S.A. (PDVSA)-Venezuela-2014-07-01,BROWN
State Bank of Pakistan (SBP)-Pakistan-2008-06-01,NEUTRAL
Vietnam Development Bank (VDB)-Vietnam-2008-01-01,NEUTRAL
